CycID	BH.Q	ADJ.P	PER	LAG	AMP
AGAP004679-RB	0.00703610430984441	0.00260830730893756	20	6	51.1691386920974
AGAP004682-RA	0.505765556473699	0.49159021300828	24	16	71.2013200805475
AGAP004683-RA	0.252631542301635	0.233260006799923	24	14	55.9622273346752
AGAP004725-RA	0.153388408645714	0.134894195440414	16	4	224.08764745146
AGAP004731-RA	0.779675982630628	0.77142980618821	24	16	95.0682266993884
AGAP004739-RA	0.000872511020963259	0.000113043469135906	20	0	75.3770329044866
AGAP004743-RA	0.00946299016075351	0.0040484183183763	20	8	338.829179125026
AGAP004747-RA	0.00257170139228963	0.000611986053162524	16	4	54.4403976226047
AGAP004750-RB	0.505765556473699	0.49159021300828	24	14	179.532317977804
AGAP004758-RA	0.0300039486594873	0.019611253592346	24	20	142.838537443929
AGAP004762-RA	0.197557720419395	0.178334758728666	24	6	11.446192614889
AGAP004765-RA	0.022880709322003	0.0135517686095417	20	2	31.5624916502188
AGAP004766-RD	0.0691577311827721	0.0544923423915021	16	12	12.1006091910277
AGAP004767-RA	0.0521091498320216	0.0392954244634917	24	4	43.0966721041292
AGAP004776-RA	0.197557720419395	0.178334758728666	24	16	50.4122459108212
AGAP004784-RA	0.252631542301635	0.233260006799923	24	12	15.0111274970707
AGAP004793-RA	0.153388408645714	0.134894195440414	24	16	30.2866639642886
AGAP004794-RA	0.0170041501454752	0.00921695076632051	24	22	195.247206381837
AGAP004800-RA	0.117784403361405	0.100904671309083	24	14	58.7143527864513
AGAP004801-RB	0.252631542301635	0.233260006799923	20	18	385.762781627485
AGAP004817-RA	0.0128649728022085	0.00616375746102637	20	18	226.99122716049
AGAP004819-RC	0.0170041501454752	0.00921695076632051	24	4	382.097239072688
AGAP004824-RA	0.00946299016075351	0.0040484183183763	20	4	30.7283915404648
AGAP004841-RD	0.0691577311827721	0.0544923423915021	24	14	100.296753945116
AGAP004870-RA	0.403787618307962	0.387132179794995	24	20	55.2013012357144
AGAP004873-RA	0.022880709322003	0.0135517686095417	20	12	138.442355543927
AGAP004873-RB	0.505765556473699	0.49159021300828	24	8	77.6608126476545
AGAP004880-RB	0.0300039486594873	0.019611253592346	8	4	77.161744875696
AGAP004883-RA	1	1	16	12	6.05105512426624
AGAP004890-RA	0.0521091498320216	0.0392954244634917	20	14	73.661389101273
AGAP004890-RB	0.0300039486594873	0.019611253592346	24	16	171.16059012998
AGAP004892-RA	0.000297895181528322	1.51231821399889e-05	24	18	145.738518642402
AGAP004892-RB	0.000297895181528322	1.51231821399889e-05	24	18	145.738518642402
AGAP004928-RA	0.022880709322003	0.0135517686095417	20	8	484.854914697284
AGAP004981-RA	0.090493406813153	0.0746056167222134	24	8	13.0877833510624
AGAP004986-RA	0.197557720419395	0.178334758728666	8	6	46.4860348457387
AGAP004988-RA	0.0521091498320216	0.0392954244634917	24	0	19.4889809886949
AGAP004989-RB	0.022880709322003	0.0135517686095417	24	20	230.028830290546
AGAP005005-RA	0.000411125890324612	3.08724888556821e-05	24	16	2128.65347274291
AGAP005020-RA	0.090493406813153	0.0746056167222134	24	4	43.9387545335917
AGAP005029-RB	0.000187396267479709	7.03603119569506e-06	24	4	488.417493694212
AGAP005032-RA	0.252631542301635	0.233260006799923	8	2	71.4342563282576
AGAP005032-RB	0.000602902518168625	6.02583690818985e-05	24	6	3141.3123344811
AGAP005035-RA	0.779675982630628	0.77142980618821	8	0	38.2333630642543
AGAP005038-RA	0.403787618307962	0.387132179794995	24	4	36.0244901775684
AGAP005055-RB	0.0128649728022085	0.00616375746102637	24	16	230.449189804215
AGAP005056-RA	0.000297895181528322	1.51231821399889e-05	24	2	241.668869464168
AGAP005071-RA	0.00946299016075351	0.0040484183183763	24	12	115.537512737309
AGAP005071-RB	0.0037014243629462	0.00101588537512907	20	10	60.1237550557277
AGAP005076-RA	0.00126918809481835	0.000204707757228766	24	8	83.5874747299566
AGAP005076-RB	0.0300039486594873	0.019611253592346	20	8	129.561459185833
AGAP005076-RC	0.00185528640360573	0.000359087691020464	20	10	224.357748712658
AGAP005079-RD	0.00257170139228963	0.000611986053162524	24	12	12314.7417148103
AGAP005079-RI	0.505765556473699	0.49159021300828	24	10	53.0704198128449
AGAP005088-RA	0.000297895181528322	1.51231821399889e-05	24	12	1101.81832557509
AGAP005091-RB	0.252631542301635	0.233260006799923	16	12	1962.17766913972
AGAP005091-RD	0.0521091498320216	0.0392954244634917	24	14	157.881570688858
AGAP005099-RA	0.00257170139228963	0.000611986053162524	24	16	48.6515332977965
AGAP005105-RA	0.0128649728022085	0.00616375746102637	24	20	20.2726372446875
AGAP005108-RA	0.0521091498320216	0.0392954244634917	20	4	71.8136327224846
AGAP005117-RA	0.00257170139228963	0.000611986053162524	20	4	25.6018960624945
AGAP005122-RA	0.0300039486594873	0.019611253592346	24	20	118.035081966111
AGAP005123-RA	0.0300039486594873	0.019611253592346	20	2	21.5561869655015
AGAP005124-RA	0.0399307547884998	0.0279578632152162	20	0	71.1110478938957
AGAP005124-RB	0.0300039486594873	0.019611253592346	24	0	33.8808279260549
AGAP005143-RA	0.000602902518168625	6.02583690818985e-05	24	14	179.105455903108
AGAP005147-RA	0.0521091498320216	0.0392954244634917	24	18	73.0591084491587
AGAP005147-RB	0.403787618307962	0.387132179794995	24	6	40.5418483397008
AGAP005150-RA	0.00185528640360573	0.000359087691020464	24	14	146.204127192653
AGAP005155-RA	0.0128649728022085	0.00616375746102637	24	0	64.0798314431156
AGAP005156-RB	0.0170041501454752	0.00921695076632051	8	0	18.1543616772027
AGAP005159-RA	0.0128649728022085	0.00616375746102637	20	10	170.139336313041
AGAP005160-RD	0.0170041501454752	0.00921695076632051	8	4	18.2034097703689
AGAP005167-RA	0.0037014243629462	0.00101588537512907	24	2	27.5985857270993
AGAP005191-RA	0.0691577311827721	0.0544923423915021	16	2	15.5023172690727
AGAP005197-RA	0.00703610430984441	0.00260830730893756	20	10	1383.44300175941
