CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP
AGAP004678-RA	0.000883854124400343	0.00353659496976724	20	4	35.9395035371547	136.628153793749	64.6723628336813	0.473345800539101
AGAP004710-RA	0.189282268560105	0.203160260353675	20	4	197.356933001514	1709.92757398226	510.078086726294	0.298303913269478
AGAP004725-RA	0.000558293830352654	0.0026302037439377	20	4	197.652460623961	1041.89291004861	287.670808225294	0.276104007859957
AGAP004726-RA	0.0137221278371488	0.0225397403608559	24	14	182.801521228926	1636.48018076155	237.140349160295	0.144908781632747
AGAP004736-RA	0.0031424559917207	0.00805338209321419	16	6	19.3914685987278	110.160012078221	24.3270758701562	0.220833997847443
AGAP004739-RA	2.15782700026397e-05	0.000365855301005208	20	2	115.797793094814	266.154314162613	146.297960289987	0.549673450720784
AGAP004743-RA	0.000883854124400343	0.00353659496976724	20	8	290.443935230611	1004.24268705236	260.782543828527	0.259680799462899
AGAP004747-RA	0.00969117950210387	0.0174464485217839	16	4	84.9024408314904	302.381709636736	74.5850107669856	0.246658473016069
AGAP004752-RA	0.000558293830352654	0.0026302037439377	24	0	26.7895713802315	56.3670661252023	31.3178338628614	0.55560517897629
AGAP004758-RA	0.00464124344376445	0.0104020698840456	24	18	179.359968305628	950.931224121975	81.1835121416041	0.0853726432388035
AGAP004762-RA	0.0361944506823709	0.0480192513252851	20	6	8.00052516886459	11.9683578121458	7.52286068402244	0.628562481344606
AGAP004765-RA	0.00969117950210387	0.0174464485217839	24	22	41.1549316926946	216.414815805924	42.179435528946	0.194900868371099
AGAP004767-RA	0.0191856279224977	0.0290788229269775	24	4	23.2585619639941	98.6149456793613	10.7548383415658	0.109058908540439
AGAP004768-RA	0.000209118029496181	0.00139769088311367	24	0	35.9751312325054	131.471681008065	38.8788621989504	0.295720431204994
AGAP004778-RA	0.000123575945529727	0.00100774840362693	20	2	24.2391055012066	86.7160475282693	36.5069741765127	0.420994443555693
AGAP004783-RA	0.00969117950210387	0.0174464485217839	20	16	60.9724295120202	213.898894994064	58.6390274712561	0.274143667141822
AGAP004789-RA	0.00675387899915211	0.013521274767482	16	4	40.3173938677752	188.929990981674	31.6951343052806	0.167761265115156
AGAP004793-RA	0.0488892471324194	0.061568036359375	16	12	60.737485054211	114.98453791981	94.2863821338496	0.819991834029068
AGAP004794-RA	0.0031424559917207	0.00805338209321419	20	2	230.960816942121	621.325238137039	263.818937391506	0.424606826180974
AGAP004797-RA	0.00464124344376445	0.0104020698840456	20	6	37.4703127708345	189.924588703173	42.7806658218529	0.22525080145738
AGAP004798-RA	0.000123575945529727	0.00100774840362693	24	8	96.1613915936649	753.72089648476	90.0115496389358	0.119422919092115
AGAP004801-RB	0.00675387899915211	0.013521274767482	24	20	702.677146458495	2171.54814479793	591.811718913352	0.272529863236545
AGAP004802-RA	0.383230548338216	0.393322460862855	20	4	5.81843826193015	53.9909822743448	27.1022312883079	0.501976999614365
AGAP004819-RA	0.0361944506823709	0.0480192513252851	24	6	30.939166199753	65.5686844857841	22.4548415371035	0.342462895408126
AGAP004819-RC	2.15782700026397e-05	0.000365855301005208	20	4	483.218157871232	1776.5290702714	622.354536815312	0.350320491361413
AGAP004823-RA	0.189282268560105	0.203160260353675	16	14	64.5653386467393	640.118554455107	63.3565026618614	0.0989762009254565
AGAP004824-RA	0.000123575945529727	0.00100774840362693	20	4	22.6394005440075	125.749665391199	26.9702104209645	0.214475405060219
AGAP004834-RA	0.0361944506823709	0.0480192513252851	8	4	26.4208304469272	122.491582868484	31.7709793889967	0.259372755621164
AGAP004838-RA	0.0361944506823709	0.0480192513252851	20	8	97.8047076610994	423.310758259198	75.1374998808856	0.177499622711876
AGAP004839-RA	0.0191856279224977	0.0290788229269775	16	4	45.0840409606123	153.211248439733	54.6732711998192	0.356848937376328
AGAP004840-RA	0.00675387899915211	0.013521274767482	20	2	21.0520820737632	69.9363698480142	26.8134536933606	0.383397847952813
AGAP004873-RA	0.0191856279224977	0.0290788229269775	20	12	142.045476619306	1017.91915606001	523.873629569032	0.514651508865158
AGAP004873-RB	0.00969117950210387	0.0174464485217839	24	12	77.7976179776857	312.416694396976	144.334877351353	0.461994765132338
AGAP004878-RA	0.305419770472292	0.316712070209864	24	6	11.5133623752771	154.699754564614	26.0173648348434	0.168179742159686
AGAP004883-RA	0.0191856279224977	0.0290788229269775	24	12	7.78972186199547	16.7723812548114	12.3474733167961	0.736178908004134
AGAP004886-RB	0.0191856279224977	0.0290788229269775	24	20	110.863220260753	707.827024938942	91.7554061155422	0.129629701724736
AGAP004890-RA	0.113309279422725	0.126881025204327	8	6	36.7766740474811	86.0739709916616	171773851029707168	1995653843440634
AGAP004890-RB	0.0191856279224977	0.0290788229269775	24	20	86.7604795868978	689.351184104954	60.2384396726434	0.0873842550235934
AGAP004892-RA	7.11438421522455e-05	0.000741328716315586	24	16	194.304983159258	304.246678497757	166.491666664093	0.547225913808358
AGAP004892-RB	7.11438421522455e-05	0.000741328716315586	24	16	194.304983159258	304.246678497757	166.491666664093	0.547225913808358
AGAP004903-RA	0.00464124344376445	0.0104020698840456	24	22	55.7338882745129	183.851131136518	57.0397316077516	0.310249554926028
AGAP004915-RA	0.00209444471261698	0.00623554422873369	16	12	109.773553076883	1165.16256758342	134.814514480209	0.11570446754037
AGAP004928-RA	0.0653460291459241	0.0788197079850958	20	8	441.422466652878	2248.18434685998	367.274040707902	0.16336473529
AGAP004929-RA	0.113309279422725	0.126881025204327	16	6	61.4072240853134	506.998323497649	97.8297634407588	0.19295875135416
AGAP004942-RB	0.305419770472292	0.316712070209864	8	0	74.2953920551278	821.536026240396	38.2036788216654	0.046502743156009
AGAP004943-RA	0.0361944506823709	0.0480192513252851	8	4	24.2823092546326	72.4713020609513	10.1881445031709	0.140581778075441
AGAP004954-RA	0.241446195902603	0.253882282376914	24	20	5.63415503121772	19.6471564850284	11.3160641779817	0.575964475399015
AGAP004956-RA	0.00675387899915211	0.013521274767482	24	2	12.3719734243076	36.7023282793873	17.5173757808309	0.477282412371342
AGAP004957-RA	0.00675387899915211	0.013521274767482	20	4	10.60644749604	15.3357602312236	12.3224816964384	0.803512933864849
AGAP004960-RA	0.0864660957623142	0.0999941246176127	24	22	96.5411999216891	663.832653229768	96.6193610825973	0.145547768119739
AGAP004978-RA	0.0425418489073951	0.0563407275247541	8	6	3.03800883343258	3.42912917690221	13803614006125784	4025399246871074
AGAP004985-RA	0.0137221278371488	0.0225397403608559	20	2	16.3707637209211	136.662793357356	29.5946481001936	0.216552342983415
AGAP004989-RB	0.0031424559917207	0.00805338209321419	24	20	343.290066147946	801.536824185001	326.630853911875	0.407505736550523
AGAP004991-RA	0.113309279422725	0.126881025204327	16	4	70.051688093816	678.054992868429	110.770372140224	0.163364879405464
AGAP005005-RA	2.73769181332207e-06	0.000117368759025422	24	16	2875.71838613292	5648.57724795089	3118.66806110039	0.55211567872808
AGAP005007-RA	0.00464124344376445	0.0104020698840456	20	2	18.6805344555376	111.737851647243	26.7212062127074	0.239141936405457
AGAP005018-RA	0.000558293830352654	0.0026302037439377	24	6	55.7348279784441	255.667592559854	72.906436459712	0.285161039495626
AGAP005029-RB	1.12958936488348e-05	0.000262782766202739	24	4	538.01934734384	1883.88385935802	489.498258487626	0.259834626246246
AGAP005032-RB	7.11438421522455e-05	0.000741328716315586	24	4	2571.1858475236	5252.29691328823	2533.66573896351	0.482391947902522
AGAP005033-RA	0.241446195902603	0.253882282376914	20	2	3.70318591208597	95.3677247286525	23.2152821053188	0.243429128369925
AGAP005038-RA	0.00969117950210387	0.0174464485217839	24	2	44.4086635780214	96.6473927622469	47.0511612178187	0.486833217876501
AGAP005055-RB	0.723026303178614	0.730819109410246	24	16	181.796847037247	1181.58510763196	70.4036802084985	0.059584095765726
AGAP005056-RA	5.68584076987438e-06	0.000175909362375186	24	2	213.954820983198	354.961496358317	270.319997567049	0.761547380040831
AGAP005058-RA	0.000558293830352654	0.0026302037439377	24	20	38.2162431119314	55.5856774014693	34.614804372507	0.622728839346519
AGAP005062-RA	0.241446195902603	0.253882282376914	20	14	80.3082749776275	1039.11652411752	120.847009065397	0.116297841734378
AGAP005071-RA	3.9803800308002e-05	0.000538068489749162	20	12	127.134128500684	850.090122633173	208.104634079898	0.244803025631317
AGAP005071-RB	0.00137277958969135	0.00473530063064799	24	12	98.5591400029037	246.777195110637	115.6211427635	0.468524422249243
AGAP005076-RA	2.15782700026397e-05	0.000365855301005208	24	10	99.675372953792	227.027310245438	104.610417668917	0.460783407757524
AGAP005079-RD	7.11438421522455e-05	0.000741328716315586	24	14	13289.2377433811	17629.7726748038	16679.0749276977	0.946074304834068
AGAP005088-RA	5.40425960594028e-07	4.77005384630199e-05	24	12	1267.63070036017	4063.29463970062	2693.52394644908	0.662891615127258
AGAP005091-RA	0.477113272756655	0.485690953711914	24	16	596.22522433404	5463.22087761414	277.710146573258	0.0508326777910794
AGAP005091-RB	0.0191856279224977	0.0290788229269775	20	14	1341.94276093921	8130.50177201057	1548.07276775811	0.190403103174688
AGAP005091-RD	0.000558293830352654	0.0026302037439377	24	14	251.125605771278	1392.66827659349	481.279469943227	0.345580837900934
AGAP005095-RA	0.589503684632361	0.596661233585739	16	4	509.367487244496	4284.1395635784	2445.46437839078	0.570818093598278
AGAP005099-RA	0.00969117950210387	0.0174464485217839	16	12	44.4704256018189	329.694750541188	49.7791343327711	0.1509855229756
