id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP004678-RA	167.330077303096	127.044188655169	127.554504370996	205.1270512006	238.147075738681	184.569949164615	97.545492788866	112.041645780716	109.764291935963	115.348103736023	98.0671145957603	53.2725538997548	151.311286203055	104.928576436351	64.3813797381967	191.148129721316	206.283761527575	132.623745508685	204.985641290987	153.151420594197	190.079349225823	202.597520728958	165.290414308498	167.559649533797	122.358436866909	126.443419033194	158.14301382707	280.683855927999	198.466196923774	230.555335880404	123.788141506154	116.871952324744	290.679038918202	163.002991819009	133.979016758434
AGAP004683-RA	491.84901510304	444.154486322007	580.088637712681	410.2541024012	539.233021494014	579.599749865352	641.684807984588	582.438714177533	591.84906211871	708.031043257703	721.773963424796	635.092407275509	650.387738486058	615.301172222764	533.936242628778	673.046479746703	461.733600932188	647.569736690681	460.50262671417	417.884590478452	440.714951302351	444.448311099151	357.567018708179	444.677531455075	601.595647928969	584.28429579391	513.287039164434	521.83477440135	519.158527318896	513.925109936056	587.531776103836	519.606382632984	641.632661157234	560.322784377844	475.016513961721
AGAP004686-RA	1162.4369764162	1260.43840713002	1178.05115501875	1259.55206877561	1321.71627034968	1225.176992871	1277.49338146382	1390.73915873841	1240.77555604412	1666.45187267409	1486.69745727173	1328.68016785271	1373.50521122441	1316.22406281759	1276.46815560931	1495.49609536754	1181.05469682886	1385.68947893557	932.44631247714	1372.89309175512	791.436582396015	1024.38371418579	965.880720346937	1023.7710455032	1264.37051429139	1376.00191300829	1185.62076652066	1071.34260502095	1253.72548788433	1303.09469574696	1315.47995152809	1193.19945920735	1214.24120270513	1243.82396598255	1079.95207447707
AGAP004691-RA	1147.22515120683	907.315583545181	1149.61543748382	1108.40582052254	1156.71436787359	1014.71714133487	1044.79449505183	1079.51236490309	1126.62069243072	1247.25998348708	1269.9691340151	840.870703711816	1030.755888886	1155.89319802285	1181.18371359678	1115.39694086423	1053.86419101652	999.708647179257	675.022483879157	1000.95392745493	577.807579283807	780.000454806488	679.152450628114	839.639562499025	1075.00626675927	1087.57868920055	851.261251572002	839.086597474899	693.421529495868	1016.6779348735	1113.1694814546	1043.1611420337	906.063091209913	1035.43945939575	794.739167589802
AGAP004696-RA	1036.93941843888	1075.37403782918	934.316433290733	1032.832696396	1211.14798518529	927.025536528157	1115.30930911607	985.255107341536	1004.56279979793	1253.82450971596	1113.06175066188	1094.69875464594	1186.24704487367	1020.74519157283	880.737274818531	1269.19428661701	1113.71854669292	1070.13642927697	922.912096603141	946.256991528433	919.277560636392	940.812236885098	782.599512644317	893.037692570234	1029.85017696315	922.293174124474	928.977246938448	861.818036511321	987.490345669508	1027.85021987211	1043.88507389518	849.690680415032	1118.96847423027	1128.98094901916	1014.99255120026
AGAP004703-RA	465.228320986638	452.157269859341	481.782299949048	517.016134897418	474.593100936372	547.028582365714	487.72746394433	445.498924889991	515.45311493128	482.023783091999	463.857452037946	385.442595862932	491.552686670697	448.254878536093	394.872462394273	491.419138095797	499.142573229934	483.848009476511	447.154724490571	479.145158716131	362.496458036857	517.889912363399	404.79285136775	388.517429138803	530.219893089939	514.03795188658	443.704113080523	418.0608135829	255.343704578758	336.184212230898	357.50754300658	386.151247883783	383.035255296894	515.86742297266	376.562236495296
AGAP004707-RJ	413.254584854616	488.169795777341	418.411272299763	267.504867939964	226.239721951747	307.33819589402	309.089934981588	145.831983397123	371.442363911297	435.134310028575	253.993826803019	211.001095838245	352.781009821486	253.507440670225	176.834189680914	456.26545906659	121.846366912661	335.675273115084	321.303074953779	328.181615558994	185.874053888969	148.14943703305	232.755889536456	311.182206277051	168.97117472097	204.127611118947	272.909658147287	159.120073254957	250.503065629397	180.78788452296	221.710104190127	132.665459395656	267.346942148848	348.233664340611	250.703160146464
AGAP004709-RA	386.633890738214	262.091160847671	315.230240101569	411.453675800034	416.757382542692	379.996954162443	350.223576519061	268.544262109336	324.902304130449	310.408311679867	275.568592014086	319.635323398529	437.214379470705	292.960585410293	269.543376503917	349.33968535275	443.563528673282	456.408613854025	460.50262671417	272.390740913965	470.152018660332	488.766518758611	330.580828616996	546.870504522391	413.688048454788	292.555361684645	457.259228551415	370.621288637323	539.731242853677	533.222693115473	356.583750905787	310.342413943409	516.222641021957	386.205952207539	478.061491615322
AGAP004710-RA	1456.5322637974	1200.41753060002	1767.07673252813	2298.38263216579	2796.52708938851	1985.17090119588	1731.1386852771	1327.60458056039	1698.27312483321	1492.02303287815	1129.73316014316	1894.83162302265	1819.91530422127	1284.32577558094	1066.15564846454	1581.18318800123	2079.93885975472	2248.20114800239	2708.67072980323	1213.17803884975	4423.12963530356	2965.52120967012	2500.72028178299	4485.44292598163	2570.98382226303	1976.81476030981	4137.02124171616	3044.03618400788	4314.2194636174	3314.10599549674	1765.36670461389	2225.30514629141	2998.17443486199	1659.66682579355	2810.51437427351
AGAP004711-RA	192.683119318717	184.06402135867	225.860842134629	275.901881731801	290.879642509389	248.877126022875	252.678083730195	213.412658629936	263.43430064631	259.767680771369	259.877853678765	205.778296436308	232.400760024581	172.922293967107	174.258934491386	263.652592719057	227.660317126287	230.490923228886	148.73376763439	141.118094690367	200.172058034274	170.941658115058	211.391822380936	195.179371984422	215.58391257503	200.821900817426	222.303893722625	205.571274764168	187.574759287713	181.803546795561	170.901538646556	158.724746062659	230.404455597371	195.41835951029	193.863577279249
