id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AGAP004645-RA	794.349541283878	3.76141900354882	0.34094248886084	11.032414927563	2.66608273066538e-28	3.55522132134228e-24
AGAP002994-RA	4289.67788777941	-4.49469049743327	0.419737779695638	-10.7083296163916	9.30251025738892e-27	6.20244871411406e-23
AGAP005929-RA	391.995896211665	-1.76291769328217	0.166110458464907	-10.6129241323755	2.59498273817145e-26	1.15346982711721e-22
AGAP005095-RA	16566.9383101804	-2.86927132948152	0.272067571697501	-10.5461717160167	5.29091832874947e-26	1.76385989784686e-22
AGAP003238-RA	565.196084624831	2.2809535692916	0.216932894798724	10.5145582988137	7.40268606941326e-26	1.97429637471252e-22
AGAP010548-RA	145.196549702752	-6.91404154476454	0.670994719254286	-10.3041668531289	6.74737879340317e-25	1.49960493683386e-21
AGAP005781-RA	685.362891940423	-2.11825083070881	0.207417251849645	-10.2125103472315	1.74296049704957e-24	3.32033974687943e-21
AGAP007454-RA	208.778313852077	-7.43913508105159	0.733342899295493	-10.1441427853167	3.51853829639975e-24	5.21330090916563e-21
AGAP007160-RA	8.98102393660637	-29.9781421204768	2.95438236746529	-10.1470082040181	3.41677503233461e-24	5.21330090916563e-21
AGAP007453-RA	180.950021399408	-6.22517689981011	0.62039896478851	-10.0341510110872	1.07883464412164e-23	1.43862599793621e-20
AGAP010147-RC	249.678944400611	-2.53574255210644	0.253741596647492	-9.99340504516961	1.6288823363969e-23	1.97464963235024e-20
AGAP002350-RD	2154.47002820371	-2.61297679723417	0.263186219354286	-9.92824321746394	3.13734141782878e-23	3.48637065056223e-20
AGAP011948-RA	5172.09759678807	-1.53589010388666	0.154929143447811	-9.91350026022729	3.63677039377972e-23	3.73048716931173e-20
AGAP000471-RA	1149.56541513944	-0.706632975789851	0.0717921519373488	-9.8427607575618	7.36612320689866e-23	6.65095934718124e-20
AGAP006699-RA	284.96858038523	-1.54847583965786	0.157346260301132	-9.84119887370923	7.48139409131748e-23	6.65095934718124e-20
AGAP001053-RD	1977.07978605284	-2.48976897984836	0.253250162628708	-9.83126310366337	8.25764900165135e-23	6.88223433981379e-20
AGAP007456-RA	175.025313358283	-5.95648258825315	0.607271895885872	-9.80859254084859	1.03400661834634e-22	8.11086956214614e-20
AGAP010694-RA	217.483270305148	2.19561599966382	0.225730354269755	9.72672021344538	2.31951198496737e-22	1.71837179552999e-19
AGAP000347-RA	754.152257934139	-1.10801667742099	0.114568603524708	-9.67120697409942	3.99636682993998e-22	2.80481850932893e-19
AGAP010131-RB	3654.79190582004	-1.29286734200968	0.134087404011229	-9.64197458772051	5.31554926921765e-22	3.54414247525087e-19
AGAP028409-RA	166.470502326289	-2.76238665728039	0.288210980147826	-9.58459894853257	9.28175386512756e-22	5.893913704356e-19
AGAP008444-RA	800.124362456339	-3.78078373916529	0.395513228813023	-9.55918402656675	1.18688762555119e-21	7.19415749396599e-19
AGAP012305-RA	2480.37293948698	-2.50105931149397	0.262610947694075	-9.52381967871174	1.66928021613195e-21	9.67819638353024e-19
AGAP007162-RB	2198.3851493378	-2.3033465438518	0.242303648420079	-9.50603327217969	1.98071721442918e-21	1.10053600226721e-18
AGAP000094-RA	8726.36254900863	-1.11185618719748	0.117105358395337	-9.4944945511712	2.21282269497632e-21	1.18031962550037e-18
AGAP002358-RC	6647.33773431782	-3.34023964299567	0.352748434635981	-9.46918346056627	2.82039720339371e-21	1.44653833489443e-18
AGAP013481-RB	2633.90555096807	-1.77173935267435	0.187241803128945	-9.462306616724	3.01223791706739e-21	1.4877108379294e-18
AGAP006593-RA	1238.32209589387	-0.719531968400393	0.0762073665981543	-9.44176397269472	3.6655570515928e-21	1.74572154582107e-18
AGAP010147-RI	256.024367558142	-2.48793962177482	0.265141910438588	-9.38342647399411	6.38628547477522e-21	2.93659023469405e-18
AGAP001799-RB	1847.82573855625	-2.29671069214622	0.24512082694069	-9.36970848544801	7.2733131574455e-21	3.23298769848453e-18
AGAP009576-RA	28.1199431484844	-6.5331689508201	0.697542592658532	-9.36597853604945	7.53488122284773e-21	3.24121422924756e-18
AGAP012305-RC	8142.29062192612	-2.20919236788467	0.236662259803196	-9.33478945786199	1.01192165892226e-20	4.21686728804009e-18
AGAP002192-RA	1437.4344987406	-1.06885758979407	0.114632636047045	-9.32419969261993	1.11824299490839e-20	4.51871828397071e-18
AGAP001023-RB	4536.770280259	-1.66017239521903	0.17861909506797	-9.2944844143751	1.47921365791309e-20	5.80156297890325e-18
AGAP001633-RB	1036.70082883269	-1.82768650526074	0.196915385413613	-9.2815830587425	1.66978923167686e-20	6.36189697268883e-18
AGAP005721-RA	1975.31744042378	0.739512446869305	0.0799654974052415	9.24789404012176	2.28959157558474e-20	8.4810287945618e-18
AGAP011484-RA	2617.17429696866	-1.5109302074454	0.163473636390863	-9.24265368290207	2.40458241225651e-20	8.66624499120016e-18
AGAP007249-RB	343.668785008087	-2.05740199729918	0.223271209393599	-9.21481100445981	3.11827145621209e-20	1.09426710180495e-17
AGAP001797-RJ	2863.14567830857	-1.71506143038106	0.186424781911269	-9.19975023061773	3.58782744861724e-20	1.22676100070028e-17
AGAP008955-RA	6662.92941269622	-0.856547528337917	0.0941296821392712	-9.09965389100748	9.06201493295744e-20	2.94736510075579e-17
AGAP001569-RA	8663.32982785484	-2.21184091807495	0.243034991054325	-9.1009155038936	8.95735502551671e-20	2.94736510075579e-17
AGAP005832-RB	615.455091924826	-1.65107399432094	0.181816477075248	-9.08099211292946	1.07589620949878e-19	3.27204309796606e-17
AGAP002456-RB	408.870681952418	-2.0980179759945	0.230915529351905	-9.08565128505157	1.03079674521618e-19	3.27204309796606e-17
AGAP009526-RA	1035.81289753461	-3.12771901050353	0.344439149444748	-9.0806141390883	1.07963926742037e-19	3.27204309796606e-17
AGAP000011-RA	1094.08415002023	-1.62407070826698	0.179134385452165	-9.0662141953794	1.23224076598717e-19	3.65154013654199e-17
