CycID,BH.Q,PER,F_ZT0,F_ZT0.1,F_ZT0.2,F_ZT4,F_ZT4.1,F_ZT4.2,F_ZT8,F_ZT8.1,F_ZT8.2,F_ZT12,F_ZT12.1,F_ZT12.2,F_ZT16,F_ZT16.1,F_ZT16.2,F_ZT20,F_ZT20.1,F_ZT20.2,gene_product,transcript_product,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000102-RA,2.29E-05,24,3579,3013,3851,1844,1938,2255,882,1539,1502,1070,944,535,1191,1543,1491,1511,2010,1625,"alpha-1,6-mannosyltransferase ","alpha-1,6-mannosyltransferase ",GO:0000009, GO:0006487, GO:0005789, GO:0000030, GO:0016021, GO:0006488, GO:0052917, GO:0005788, GO:0016757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003551-RA,0.01700415,24,220,163,295,186,178,251,165,255,253,127,146,3,149,146,180,175,155,174,"beta-1,4-mannosyltransferase ","beta-1,4-mannosyltransferase ",GO:0000030, GO:0005783, GO:0006486, GO:0000030, GO:0006486, GO:0005783, GO:0000030, GO:0016757, GO:0000030, GO:0097502,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001299-RA,0.003701424,24,259,207,301,344,319,427,222,265,309,218,113,3,199,200,236,197,266,237,mannose-1-phosphate guanylyltransferase ,mannose-1-phosphate guanylyltransferase ,GO:0000032, GO:0006486, GO:0004475, GO:0005737, GO:0016779, GO:0009298, GO:0004475, GO:0016779, GO:0009298, GO:0016740, GO:0009058, GO:0016740, GO:0016779, GO:0009058, GO:0005525,,,,,,,,,,,,,,,,,,,,,,
AGAP002504-RA,0.01700415,20,153,83,161,57,87,97,29,76,78,59,64,13,87,114,89,110,92,84,tRNA (cytosine34-C5)-methyltransferase ,tRNA (cytosine34-C5)-methyltransferase ,GO:0000049, GO:0008168, GO:0005634, GO:0016428, GO:0005737, GO:0001510, GO:0030488, GO:0000049, GO:0008168, GO:0016428, GO:0001510, GO:0030488, GO:0005634, GO:0005737, GO:0008168, GO:0016428, GO:0001510, GO:0003723, GO:0003723, GO:0003723, GO:0008168, GO:0008168, GO:0016428, GO:0016740, GO:0032259,,,,,,,,,,,,
AGAP010563-RA,0.00946299,20,157,169,252,232,224,271,150,200,252,7,26,203,83,92,165,98,188,169,"solute carrier family 7 (cationic amino acid transporter, y+ system) ","solute carrier family 7 (cationic amino acid transporter, y+ system) ",GO:0000064, GO:1903352, GO:0097638, GO:0015189, GO:0015171, GO:0006865, GO:0005886, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0016021, GO:0016020, GO:0055085,,,,,,,,,,,,,,,,,,,,,,
AGAP009811-RA,0.001269188,24,220,159,238,233,205,334,192,294,255,183,162,8,171,166,132,222,180,186,Cdk5rap3 ,Cdk5rap3 ,GO:0000079, GO:0007346, GO:0000079, GO:0007346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000471-RA,0.022880709,24,2100.98,1816.54,2019.82,1430.77,1246.48,1473.39,808.728,1434.67,1128.37,1109.08,1000.28,1389.22,1189.38,1752.88,1600.43,1461.53,1166,1883.42,F-box and leucine-rich repeat protein 4 ,F-box and leucine-rich repeat protein 4 ,GO:0000086, GO:0031146, GO:0019005, GO:0051726, GO:0005829, GO:0005634, GO:0061630, GO:0000086, GO:0031146, GO:0051726, GO:0005634, GO:0005829, GO:0019005, GO:0000086, GO:0031146, GO:0019005, GO:0051726, GO:0005829, GO:0005634, GO:0061630, GO:0000086, GO:0031146, GO:0051726, GO:0005634, GO:0005829, GO:0019005, GO:0005515, GO:0016567, GO:0005515, GO:0016567,,,,,,,
AGAP001143-RA,4.11E-04,24,4008,3473,5047,3240,2694,4083,1573,1878,2170,990,904,51,2239,2627,2280,2733,3177,3392,histone deacetylase 3 ,histone deacetylase 3 ,GO:0000118, GO:0070932, GO:0045944, GO:0004407, GO:0070933, GO:0004407, GO:0045944, GO:0070932, GO:0070933, GO:0000118, GO:0032041, GO:0006325, GO:0046872, GO:0004407, GO:0016575, GO:0004407, GO:0004407, GO:0016787, GO:0032041, GO:0046872, GO:0006325, GO:0016575, GO:0005634,,,,,,,,,,,,,,
AGAP003094-RA,0.039930755,8,273.644,236.103,345.376,203.159,216.833,314.133,167.298,258.002,279.476,319.748,306.851,7,248.413,222.473,278.431,277.309,287.19,292.006,transcription initiation factor TFIID subunit 9B ,transcription initiation factor TFIID subunit 9B ,GO:0000124, GO:0043966, GO:0005669, GO:0003713, GO:0051123, GO:0008134, GO:0006366, GO:0045944, GO:0000124, GO:0005669, GO:0046982, GO:0006352, GO:0046982, GO:0006352,,,,,,,,,,,,,,,,,,,,,,,
AGAP011570-RA,0.030003949,24,757,861,721,1384,1026,1683,806,1444,1110,1008,769,3057,722,987,1142,729,831,729,unspecified product ,unspecified product ,GO:0000138, GO:0005797, GO:0016020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009079-RA,0.00946299,24,213,177,266,172,177,163,97,147,152,137,133,25,169,200,210,191,206,241,"2',5'-phosphodiesterase 12 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0V0] ","2',5'-phosphodiesterase 12 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0V0] ",GO:0000175, GO:0000288, GO:0005739, GO:0003824, GO:0090503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008575-RA,0.002571701,24,710,870,762,1187,967,1275,491,678,689,538,559,425,491,552,666,534,598,429,ubiquitin-conjugating enzyme E2 Q ,ubiquitin-conjugating enzyme E2 Q ,GO:0000209, GO:0005634, GO:0061631, GO:0061631, GO:0016567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000091-RA,0.005153499,24,4317.3,3137.01,4172.78,2407.78,2104.55,3011.41,1787.42,3077.48,2373.7,2030.77,1323.27,87.9873,2555.57,2288.94,2024.38,4232.27,2900.32,3214.5,methylsterol monooxygenase ,methylsterol monooxygenase ,GO:0000254, GO:0016126, GO:0005789, GO:0016020, GO:0016491, GO:0000254, GO:0016491, GO:0016126, GO:0005789, GO:0016020, GO:0016021, GO:0016491, GO:0005506, GO:0008610, GO:0005506, GO:0016491, GO:0008610, GO:0055114, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,
AGAP006132-RA,0.039930755,20,25,16,16,26,32,39,12,29,32,10,4,15,18,12,20,8,26,20,ganglioside-induced differentiation-associated-protein 1 ,ganglioside-induced differentiation-associated-protein 1 ,GO:0000266, GO:0006626, GO:0007005, GO:0008053, GO:0005739, GO:0031307, GO:0006749, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001676-RA,2.98E-04,24,231.324,127.523,207.164,208.151,196.497,246.512,240.36,373.342,311.926,244.381,201.111,23.9357,111.302,109.236,143.89,122.939,101.235,101.099,"actin, cytoplasmic ","actin, cytoplasmic ",GO:0000281, GO:0000281, GO:0015629, GO:0000166, GO:0005524, GO:0005737, GO:0005856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000651-RA,0.002571701,24,13513.5,10018.9,13313.7,12790.1,10935.6,16212.2,8942.61,13300.2,11103.3,9281.81,5941.32,235.475,9143.56,8881.26,8758.95,12435.9,10854.2,9942.31,Actin-5C [Source:UniProtKB/Swiss-Prot;Acc:P84185] ,Actin-5C [Source:UniProtKB/Swiss-Prot;Acc:P84185] ,GO:0000281, GO:0000281, GO:0015629, GO:0000281, GO:0000281, GO:0015629, GO:0005856, GO:0005737, GO:0005524, GO:0000166, GO:0005524, GO:0005737, GO:0005856, GO:0005856, GO:0005737, GO:0005524, GO:0000166, GO:0005524, GO:0005737, GO:0005856,,,,,,,,,,,,,,,,,
AGAP005783-RA,0.012864973,16,64,64,61,38,43,21,113,237,179,160,218,2593,122,152,141,49,68,103,unspecified product ,unspecified product ,GO:0000281, GO:0000915, GO:0030865, GO:0031106, GO:1904498, GO:0005826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012247-RA,0.022880709,20,153,118,222,169,208,325,140,319,268,265,266,16,159,187,202,153,115,194,phosphoserine phosphatase ,phosphoserine phosphatase ,GO:0000287, GO:0016791, GO:0006564, GO:0016311, GO:0005737, GO:0046872, GO:0036424, GO:0006564, GO:0006564, GO:0016311,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005223-RA,0.012864973,20,543,479,611,516,551,716,364,626,541,191,305,171,400,574,589,296,582,539,Lipocln_cytosolic_FA-bd_dom domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7Q9I2] ,Lipocln_cytosolic_FA-bd_dom domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7Q9I2] ,GO:0000302, GO:0005737, GO:0006629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011478-RA,0.012864973,20,7364,4752,7925,11231,8839,15203,10984,14162,13012,16550,12254,44411,13742,11984,11335,11646,11440,9472,unspecified product ,unspecified product ,GO:0000302, GO:0005737, GO:0006629, GO:0000302, GO:0006629, GO:0005737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012142-RA,0.002571701,8,272,202,309,230,213,293,123,224,227,234,225,8,207,237,222,304,322,301,U4/U6 small nuclear ribonucleoprotein Prp31 ,U4/U6 small nuclear ribonucleoprotein Prp31 ,GO:0000398, GO:0005687, GO:0071011, GO:0097526, GO:0046540, GO:0000244, GO:0005681, GO:0003723, GO:0000398, GO:0000244, GO:0000398, GO:0046540,,,,,,,,,,,,,,,,,,,,,,,,,
