CycID,BH.Q,PER,M_ZT0,M_ZT0.1,M_ZT0.2,M_ZT4,M_ZT4.1,M_ZT4.2,M_ZT8,M_ZT8.1,M_ZT8.2,M_ZT12,M_ZT12.1,M_ZT12.2,M_ZT16,M_ZT16.1,M_ZT16.2,M_ZT20,M_ZT20.1,M_ZT20.2,gene_product,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000102-RA,1.17E-04,24,1991,2417,2937,1654,1094,2204,1095,1565,1452,892,1150,805,1727,1781,1506,2102,1789,1816,"alpha-1,6-mannosyltransferase ",GO:0000009, GO:0006487, GO:0005789, GO:0000030, GO:0016021, GO:0006488, GO:0052917, GO:0005788, GO:0016757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003551-RA,0.048019251,24,138,186,191,205,143,267,190,256,227,129,123,131,210,197,149,217,154,120,"beta-1,4-mannosyltransferase ",GO:0000030, GO:0005783, GO:0006486, GO:0000030, GO:0006486, GO:0005783, GO:0000030, GO:0016757, GO:0000030, GO:0097502,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001299-RA,0.001971123,24,220,226,347,287,182,482,288,316,344,251,192,182,292,203,207,301,199,292,mannose-1-phosphate guanylyltransferase ,GO:0000032, GO:0006486, GO:0004475, GO:0005737, GO:0016779, GO:0009298, GO:0004475, GO:0016779, GO:0009298, GO:0016740, GO:0009058, GO:0016740, GO:0016779, GO:0009058, GO:0005525,,,,,,,,,,,,,,,,,,,,,,
AGAP008915-RA,0.02253974,24,227.824,287.13,508.243,386.733,193.928,515.128,278.646,443.39,521.654,246.014,296.433,240.818,297.178,333.221,288.198,351.703,150.543,371.527,gamma-glutamyltranspeptidase ,GO:0000048, GO:0036374, GO:0006751, GO:0005886, GO:0036374, GO:0006751, GO:0036374, GO:0006508, GO:0006751, GO:0006412,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008265-RA,0.004735301,12,329,399,513,451,354,646,417,555,397,332,486,319,611,722,673,631,451,515,seryl-tRNA synthetase ,GO:0000049, GO:0006434, GO:0005829, GO:0004828, GO:0000049, GO:0004828, GO:0006434, GO:0005829, GO:0005524, GO:0006434, GO:0004828, GO:0006418, GO:0004812, GO:0000166, GO:0000166, GO:0004812, GO:0004828, GO:0005524, GO:0006418, GO:0006434,,,,,,,,,,,,,,,,,
AGAP010586-RA,0.006235544,20,231,224,289,300,187,393,218,270,259,210,184,236,290,261,275,355,281,337,aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ,GO:0000049, GO:0000049, GO:0000049, GO:0003723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002504-RA,0.017446449,20,90,104,140,73,48,86,64,77,43,70,52,47,143,106,90,119,60,99,tRNA (cytosine34-C5)-methyltransferase ,GO:0000049, GO:0008168, GO:0005634, GO:0016428, GO:0005737, GO:0001510, GO:0030488, GO:0000049, GO:0008168, GO:0016428, GO:0001510, GO:0030488, GO:0005634, GO:0005737, GO:0008168, GO:0016428, GO:0001510, GO:0003723, GO:0003723, GO:0003723, GO:0008168, GO:0008168, GO:0016428, GO:0016740, GO:0032259,,,,,,,,,,,,
AGAP007460-RB,0.037253837,20,151,194,408,202,138,658,305,349,575,368,206,586,142.985,199,139,202,213,354,acyl-CoA-binding protein 2 ,GO:0000062, GO:0000062, GO:0000062, GO:0000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010563-RA,0.001397691,24,163,197,388,184,104,316,166,190,245,16,4,18,117,148,131,204,162,191,"solute carrier family 7 (cationic amino acid transporter, y+ system) ",GO:0000064, GO:1903352, GO:0097638, GO:0015189, GO:0015171, GO:0006865, GO:0005886, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0016021, GO:0016020, GO:0055085,,,,,,,,,,,,,,,,,,,,,,
AGAP011219-RA,0.037253837,20,10,4,8,7,3,18,0,1,5,1,1,3,4,1,3,19,4,11,unspecified product ,GO:0000070, GO:0000775, GO:0032133, GO:0051233, GO:0051301, GO:0007049, GO:0005634, GO:0000775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
